dataset,run,depth,method,search_strategy,score_profile,candidate_count,candidate_pruned_count,branch_and_bound_fallback_count,nodes_using_greedy_selection,nodes_using_selective_lookahead,branch_and_bound_activation_count,branch_and_bound_avoided_count,cache_activation_count,estimated_work_saved,search_time,path_certified,path_violation_count
"HTRU_2-bin",0,5,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.06968142,true,0
"HTRU_2-bin",0,5,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.113401215,true,0
"HTRU_2-bin",0,5,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.114603562,true,0
"HTRU_2-bin",0,5,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.971535667,true,0
"HTRU_2-bin",0,5,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.400629857,true,0
"HTRU_2-bin",0,5,smart_certified,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,1.588930576,true,0
"HTRU_2-bin",0,5,cals,SparseLookahead,SparseCertified,68703,1621,0,42,0,35,0,70,2181,23.501648866,true,0
"HTRU_2-bin",0,5,cals_compact_explain,SelectiveLookahead,SparseCertified,31949,0,0,30,19,0,32,77,720,8.428030963000001,true,0
"HTRU_2-bin",0,7,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.095280929,true,0
"HTRU_2-bin",0,7,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.225427405,true,0
"HTRU_2-bin",0,7,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.238724399,true,0
"HTRU_2-bin",0,7,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,3.3367032979999998,true,0
"HTRU_2-bin",0,7,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.970732446,true,0
"HTRU_2-bin",0,7,smart_certified,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,4.959549667,true,0
"HTRU_2-bin",0,7,cals,SparseLookahead,SparseCertified,144613,3469,0,94,0,87,0,174,4840,52.568708822999994,true,0
"HTRU_2-bin",0,7,cals_compact_explain,SelectiveLookahead,SparseCertified,75676,0,0,82,19,0,84,181,1524,20.120420221,true,0
"HTRU_2-bin",1,5,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.058938978,true,0
"HTRU_2-bin",1,5,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.115389444,true,0
"HTRU_2-bin",1,5,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.119201146,true,0
"HTRU_2-bin",1,5,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.954322943,true,0
"HTRU_2-bin",1,5,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.380097492,true,0
"HTRU_2-bin",1,5,smart_certified,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,1.75062815,true,0
"HTRU_2-bin",1,5,cals,SparseLookahead,SparseCertified,79379,1694,0,40,0,37,0,66,2158,35.305645983999995,true,0
"HTRU_2-bin",1,5,cals_compact_explain,SelectiveLookahead,SparseCertified,40856,0,0,29,15,0,40,70,480,10.862003923,true,0
"HTRU_2-bin",1,7,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.09900663,true,0
"HTRU_2-bin",1,7,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.216150338,true,0
"HTRU_2-bin",1,7,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.226921947,true,0
"HTRU_2-bin",1,7,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,2.919482848,true,0
"HTRU_2-bin",1,7,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.81190071,true,0
"HTRU_2-bin",1,7,smart_certified,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,5.13086021,true,0
"HTRU_2-bin",1,7,cals,SparseLookahead,SparseCertified,165110,3456,0,85,0,82,0,156,4625,80.13812337,true,0
"HTRU_2-bin",1,7,cals_compact_explain,SelectiveLookahead,SparseCertified,87486,0,0,79,15,0,90,170,1246,20.743612215,true,0
"HTRU_2-bin",2,5,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.061053366,true,0
"HTRU_2-bin",2,5,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.113301543,true,0
"HTRU_2-bin",2,5,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.119127643,true,0
"HTRU_2-bin",2,5,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,1.015839305,true,0
"HTRU_2-bin",2,5,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.374729709,true,0
"HTRU_2-bin",2,5,smart_certified,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,1.654372447,true,0
"HTRU_2-bin",2,5,cals,SparseLookahead,SparseCertified,16114,1554,0,40,0,37,0,66,2018,2.553671333,true,0
"HTRU_2-bin",2,5,cals_compact_explain,SelectiveLookahead,SparseCertified,54983,0,0,34,19,0,41,82,656,17.005206992999998,true,0
"HTRU_2-bin",2,7,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.101183532,true,0
"HTRU_2-bin",2,7,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.212605425,true,0
"HTRU_2-bin",2,7,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.230555789,true,0
"HTRU_2-bin",2,7,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,2.690355242,true,0
"HTRU_2-bin",2,7,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.977403529,true,0
"HTRU_2-bin",2,7,smart_certified,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,5.122284068,true,0
"HTRU_2-bin",2,7,cals,SparseLookahead,SparseCertified,18868,2812,0,78,0,75,0,142,3863,2.911151298,true,0
"HTRU_2-bin",2,7,cals_compact_explain,SelectiveLookahead,SparseCertified,111071,0,0,81,19,0,87,176,1384,36.812455269,true,0
"HTRU_2-bin",3,5,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.060658908,true,0
"HTRU_2-bin",3,5,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.116832277,true,0
"HTRU_2-bin",3,5,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.113086454,true,0
"HTRU_2-bin",3,5,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.893232007,true,0
"HTRU_2-bin",3,5,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.383771833,true,0
"HTRU_2-bin",3,5,smart_certified,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,1.683017014,true,0
"HTRU_2-bin",3,5,cals,SparseLookahead,SparseCertified,82815,1687,0,39,0,37,0,64,2119,38.238481221,true,0
"HTRU_2-bin",3,5,cals_compact_explain,SelectiveLookahead,SparseCertified,36196,0,0,29,15,0,29,70,656,7.929163694,true,0
"HTRU_2-bin",3,7,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.10637434,true,0
"HTRU_2-bin",3,7,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.241634347,true,0
"HTRU_2-bin",3,7,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.236250327,true,0
"HTRU_2-bin",3,7,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,2.249507881,true,0
"HTRU_2-bin",3,7,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.926806539,true,0
