dataset,path,n_samples,n_columns_original,n_features_original,n_features_after_constant_removal,raw_label_unique_count,raw_label_counts,binarized_label_counts,positive_rate,majority_class_rate,removed_constant_columns_count,is_binary_features,skipped,skip_reason,label_column_used,label_excluded_from_features,feature_equal_to_label_count,feature_equal_to_label_indices,suspicious_majority_rate,suspicious_feature_label_leakage
"HTRU_2-bin","../data/HTRU_2-bin.dl8",17898,71,70,70,2,"0:16259;1:1639","0:16259;1:1639",0.09157447759526204,0.908425522404738,0,true,false,"",0,true,0,"",false,false
"IndiansDiabetes-bin","../data/IndiansDiabetes-bin.dl8",768,44,43,40,2,"0:500;1:268","0:500;1:268",0.3489583333333333,0.6510416666666667,3,true,false,"",0,true,0,"",false,false
"Statlog_satellite-bin","../data/Statlog_satellite-bin.dl8",4435,540,539,531,2,"0:1072;1:3363","0:1072;1:3363",0.7582863585118377,0.7582863585118377,8,true,false,"",0,true,0,"",false,false
"adult_discretized","../data/adult_discretized.dl8",30299,60,59,59,2,"0:22788;1:7511","0:22788;1:7511",0.2478959701640318,0.7521040298359682,0,true,false,"",0,true,0,"",false,false
"anneal","../data/anneal.dl8",812,94,93,88,2,"0:187;1:625","0:187;1:625",0.7697044334975369,0.7697044334975369,5,true,false,"",0,true,0,"",false,false
"audiology","../data/audiology.dl8",216,149,148,145,2,"0:159;1:57","0:159;1:57",0.2638888888888889,0.7361111111111112,3,true,false,"",0,true,0,"",false,false
"australian-credit","../data/australian-credit.dl8",653,126,125,124,2,"0:296;1:357","0:296;1:357",0.5467075038284839,0.5467075038284839,1,true,false,"",0,true,0,"",false,false
"balance-scale-bin","../data/balance-scale-bin.dl8",625,17,16,16,2,"0:49;1:576","0:49;1:576",0.9216,0.9216,0,true,false,"",0,true,0,"",false,false
"bank_conv-bin","../data/bank_conv-bin.dl8",4521,213,212,211,2,"0:4000;1:521","0:4000;1:521",0.11523999115239991,0.8847600088476001,1,true,false,"",0,true,0,"",false,false
"banknote-bin","../data/banknote-bin.dl8",1372,29,28,26,2,"0:762;1:610","0:762;1:610",0.4446064139941691,0.5553935860058309,2,true,false,"",0,true,0,"",false,false
"biodeg-bin","../data/biodeg-bin.dl8",1055,305,304,302,2,"0:699;1:356","0:699;1:356",0.33744075829383885,0.6625592417061612,2,true,false,"",0,true,0,"",false,false
"breast-cancer-un","../data/breast-cancer-un.dl8",683,90,89,89,2,"0:444;1:239","0:444;1:239",0.34992679355783307,0.6500732064421669,0,true,false,"",0,true,0,"",false,false
"breast-wisconsin","../data/breast-wisconsin.dl8",683,121,120,120,2,"0:239;1:444","0:239;1:444",0.6500732064421669,0.6500732064421669,0,true,false,"",0,true,0,"",false,false
"car-un","../data/car-un.dl8",1728,22,21,21,2,"0:1210;1:518","0:1210;1:518",0.29976851851851855,0.7002314814814814,0,true,false,"",0,true,0,"",false,false
"car_evaluation-bin","../data/car_evaluation-bin.dl8",1728,15,14,14,2,"0:1210;1:518","0:1210;1:518",0.29976851851851855,0.7002314814814814,0,true,false,"",0,true,0,"",false,false
"compas_discretized","../data/compas_discretized.dl8",6167,26,25,25,2,"0:3358;1:2809","0:3358;1:2809",0.45548889249229774,0.5445111075077023,0,true,false,"",0,true,0,"",false,false
"diabetes","../data/diabetes.dl8",768,113,112,112,2,"0:268;1:500","0:268;1:500",0.6510416666666666,0.6510416666666666,0,true,false,"",0,true,0,"",false,false
"forest-fires-un","../data/forest-fires-un.dl8",517,990,989,989,2,"0:247;1:270","0:247;1:270",0.5222437137330754,0.5222437137330754,0,true,false,"",0,true,0,"",false,false
"german-credit","../data/german-credit.dl8",1000,113,112,110,2,"0:300;1:700","0:300;1:700",0.7,0.7,2,true,false,"",0,true,0,"",false,false
"heart-cleveland","../data/heart-cleveland.dl8",296,96,95,95,2,"0:136;1:160","0:136;1:160",0.5405405405405406,0.5405405405405406,0,true,false,"",0,true,0,"",false,false
"hepatitis","../data/hepatitis.dl8",137,69,68,68,2,"0:26;1:111","0:26;1:111",0.8102189781021898,0.8102189781021898,0,true,false,"",0,true,0,"",false,false
"hypothyroid","../data/hypothyroid.dl8",3247,89,88,83,2,"0:277;1:2970","0:277;1:2970",0.9146904835232522,0.9146904835232522,5,true,false,"",0,true,0,"",false,false
"ionosphere","../data/ionosphere.dl8",351,446,445,444,2,"0:126;1:225","0:126;1:225",0.6410256410256411,0.6410256410256411,1,true,false,"",0,true,0,"",false,false
"kr-vs-kp","../data/kr-vs-kp.dl8",3196,74,73,73,2,"0:1527;1:1669","0:1527;1:1669",0.522215269086358,0.522215269086358,0,true,false,"",0,true,0,"",false,false
"letter","../data/letter.dl8",20000,225,224,224,2,"0:19187;1:813","0:19187;1:813",0.04065,0.95935,0,true,false,"",0,true,0,"",false,false
"letter_recognition-bin","../data/letter_recognition-bin.dl8",20000,241,240,240,2,"0:789;1:19211","0:789;1:19211",0.96055,0.96055,0,true,false,"",0,true,0,"",false,false
"lymph","../data/lymph.dl8",148,69,68,68,2,"0:67;1:81","0:67;1:81",0.5472972972972973,0.5472972972972973,0,true,false,"",0,true,0,"",false,false
"magic04-bin","../data/magic04-bin.dl8",19020,87,86,86,2,"0:12332;1:6688","0:12332;1:6688",0.3516298633017876,0.6483701366982124,0,true,false,"",0,true,0,"",false,false
"messidor-bin","../data/messidor-bin.dl8",1151,87,86,83,2,"0:540;1:611","0:540;1:611",0.5308427454387489,0.5308427454387489,3,true,false,"",0,true,0,"",false,false
"mushroom","../data/mushroom.dl8",8124,120,119,111,2,"0:3916;1:4208","0:3916;1:4208",0.517971442639094,0.517971442639094,8,true,false,"",0,true,0,"",false,false
"pendigits","../data/pendigits.dl8",7494,217,216,216,2,"0:6714;1:780","0:6714;1:780",0.10408326661329063,0.8959167333867094,0,true,false,"",0,true,0,"",false,false
"primary-tumor","../data/primary-tumor.dl8",336,32,31,31,2,"0:254;1:82","0:254;1:82",0.24404761904761904,0.7559523809523809,0,true,false,"",0,true,0,"",false,false
"segment","../data/segment.dl8",2310,236,235,234,2,"0:1980;1:330","0:1980;1:330",0.14285714285714285,0.8571428571428572,1,true,false,"",0,true,0,"",false,false
"seismic_bumps-bin","../data/seismic_bumps-bin.dl8",2584,92,91,90,2,"0:2414;1:170","0:2414;1:170",0.06578947368421052,0.9342105263157895,1,true,false,"",0,true,0,"",false,false
"soybean","../data/soybean.dl8",630,51,50,50,2,"0:538;1:92","0:538;1:92",0.14603174603174604,0.8539682539682539,0,true,false,"",0,true,0,"",false,false
"splice-1","../data/splice-1.dl8",3190,288,287,287,2,"0:1535;1:1655","0:1535;1:1655",0.5188087774294671,0.5188087774294671,0,true,false,"",0,true,0,"",false,false
"taiwan_binarised","../data/taiwan_binarised.dl8",30000,206,205,198,2,"0:23364;1:6636","0:23364;1:6636",0.2212,0.7787999999999999,7,true,false,"",0,true,0,"",false,false
"tic-tac-toe","../data/tic-tac-toe.dl8",958,28,27,27,2,"0:332;1:626","0:332;1:626",0.6534446764091858,0.6534446764091858,0,true,false,"",0,true,0,"",false,false
"titanic-un","../data/titanic-un.dl8",887,334,333,333,2,"0:545;1:342","0:545;1:342",0.3855693348365276,0.6144306651634723,0,true,false,"",0,true,0,"",false,false
"vehicle","../data/vehicle.dl8",846,253,252,252,2,"0:628;1:218","0:628;1:218",0.2576832151300236,0.7423167848699763,0,true,false,"",0,true,0,"",false,false
"vote","../data/vote.dl8",435,49,48,48,2,"0:168;1:267","0:168;1:267",0.6137931034482759,0.6137931034482759,0,true,false,"",0,true,0,"",false,false
"wine1-un","../data/wine1-un.dl8",178,1277,1276,1276,2,"0:119;1:59","0:119;1:59",0.33146067415730335,0.6685393258426966,0,true,false,"",0,true,0,"",false,false
"wine2-un","../data/wine2-un.dl8",178,1277,1276,1276,2,"0:107;1:71","0:107;1:71",0.398876404494382,0.601123595505618,0,true,false,"",0,true,0,"",false,false
"wine3-un","../data/wine3-un.dl8",178,1277,1276,1276,2,"0:130;1:48","0:130;1:48",0.2696629213483146,0.7303370786516854,0,true,false,"",0,true,0,"",false,false
"winequality-red-bin","../data/winequality-red-bin.dl8",1599,43,42,39,2,"0:10;1:1589","0:10;1:1589",0.9937460913070669,0.9937460913070669,3,true,false,"",0,true,0,"",true,false
"yeast","../data/yeast.dl8",1484,90,89,89,2,"0:1021;1:463","0:1021;1:463",0.3119946091644205,0.6880053908355794,0,true,false,"",0,true,0,"",false,false
