dataset,run,depth,method,predicate_mask_hits,predicate_mask_misses,candidate_hits,candidate_misses,subtree_hits,subtree_misses,incompatible_subtree_reuse
"HTRU_2-bin",0,7,cals_horn,20690,4207,82,86,0,155,false
"HTRU_2-bin",0,7,cals_antihorn,20548,4341,91,93,0,165,false
"HTRU_2-bin",0,7,cals_square2cnf,59822,420941,75,79,0,135,false
"HTRU_2-bin",0,7,cals_affine,80330,49105,85,81,0,153,false
"HTRU_2-bin",0,7,cals_compact_explain_horn,14715,3351,91,84,0,155,false
"HTRU_2-bin",0,7,cals_compact_explain_antihorn,13758,3331,103,88,0,165,false
"HTRU_2-bin",0,7,cals_compact_explain_square2cnf,28843,260032,86,79,0,145,false
"HTRU_2-bin",0,7,cals_compact_explain_affine,48649,39619,96,81,0,157,false
"HTRU_2-bin",1,7,cals_horn,22605,4316,84,94,0,165,false
"HTRU_2-bin",1,7,cals_antihorn,19315,4031,75,83,0,145,false
"HTRU_2-bin",1,7,cals_square2cnf,67333,398178,74,78,0,131,false
"HTRU_2-bin",1,7,cals_affine,74569,43794,76,74,0,137,false
"HTRU_2-bin",1,7,cals_compact_explain_horn,17021,3544,87,95,0,165,false
"HTRU_2-bin",1,7,cals_compact_explain_antihorn,13585,3198,87,79,0,143,false
"HTRU_2-bin",1,7,cals_compact_explain_square2cnf,27270,227006,79,72,0,127,false
"HTRU_2-bin",1,7,cals_compact_explain_affine,42658,33735,81,70,0,131,false
"anneal",0,7,cals_horn,7362,1691,26,28,0,41,false
"anneal",0,7,cals_antihorn,7371,1693,26,28,0,41,false
"anneal",0,7,cals_square2cnf,17278,133244,23,23,0,33,false
"anneal",0,7,cals_affine,15427,18908,23,21,0,31,false
"anneal",0,7,cals_compact_explain_horn,5699,1332,23,26,0,41,false
"anneal",0,7,cals_compact_explain_antihorn,5693,1339,23,26,0,41,false
"anneal",0,7,cals_compact_explain_square2cnf,9026,78822,23,23,0,35,false
"anneal",0,7,cals_compact_explain_affine,8119,13203,23,19,0,31,false
"anneal",1,7,cals_horn,7663,1661,25,31,0,39,false
"anneal",1,7,cals_antihorn,7672,1662,25,31,0,39,false
"anneal",1,7,cals_square2cnf,17352,130431,25,23,0,33,false
"anneal",1,7,cals_affine,23371,18796,28,26,0,41,false
"anneal",1,7,cals_compact_explain_horn,4967,1236,22,26,0,39,false
"anneal",1,7,cals_compact_explain_antihorn,4976,1229,22,26,0,39,false
"anneal",1,7,cals_compact_explain_square2cnf,7222,70022,25,21,0,33,false
"anneal",1,7,cals_compact_explain_affine,13378,14590,29,25,0,41,false
"balance-scale-bin",0,7,cals_horn,5934,702,19,33,0,39,false
"balance-scale-bin",0,7,cals_antihorn,5112,693,13,27,0,27,false
"balance-scale-bin",0,7,cals_square2cnf,28473,140729,17,27,0,31,false
"balance-scale-bin",0,7,cals_affine,38949,1376,29,27,0,43,false
"balance-scale-bin",0,7,cals_compact_explain_horn,4081,667,21,40,0,41,false
"balance-scale-bin",0,7,cals_compact_explain_antihorn,3729,660,20,38,0,41,false
"balance-scale-bin",0,7,cals_compact_explain_square2cnf,14638,98807,30,37,0,51,false
"balance-scale-bin",0,7,cals_compact_explain_affine,29197,1376,37,31,0,51,false
"balance-scale-bin",1,7,cals_horn,4896,713,25,31,0,43,false
"balance-scale-bin",1,7,cals_antihorn,5283,688,17,31,0,35,false
"balance-scale-bin",1,7,cals_square2cnf,28995,170466,31,37,0,53,false
"balance-scale-bin",1,7,cals_affine,40455,1376,30,28,0,45,false
"balance-scale-bin",1,7,cals_compact_explain_horn,3836,706,32,40,0,53,false
"balance-scale-bin",1,7,cals_compact_explain_antihorn,2200,609,19,24,0,35,false
"balance-scale-bin",1,7,cals_compact_explain_square2cnf,12123,105071,28,33,0,45,false
"balance-scale-bin",1,7,cals_compact_explain_affine,26247,1376,34,28,0,45,false
"car_evaluation-bin",0,7,cals_horn,5994,487,30,44,0,57,false
"car_evaluation-bin",0,7,cals_antihorn,6021,487,22,36,0,45,false
"car_evaluation-bin",0,7,cals_square2cnf,41038,130132,17,27,0,29,false
"car_evaluation-bin",0,7,cals_affine,26197,924,28,26,0,41,false
"car_evaluation-bin",0,7,cals_compact_explain_horn,2692,451,30,39,0,57,false
"car_evaluation-bin",0,7,cals_compact_explain_antihorn,2813,441,23,32,0,47,false
"car_evaluation-bin",0,7,cals_compact_explain_square2cnf,9391,57640,17,19,0,29,false
"car_evaluation-bin",0,7,cals_compact_explain_affine,22622,924,28,24,0,41,false
"car_evaluation-bin",1,7,cals_horn,5820,469,27,41,0,53,false
"car_evaluation-bin",1,7,cals_antihorn,5735,454,26,40,0,53,false
"car_evaluation-bin",1,7,cals_square2cnf,37521,128015,16,26,0,29,false
"car_evaluation-bin",1,7,cals_affine,25119,924,27,25,0,39,false
"car_evaluation-bin",1,7,cals_compact_explain_horn,2459,418,27,33,0,53,false
"car_evaluation-bin",1,7,cals_compact_explain_antihorn,2663,427,26,35,0,53,false
"car_evaluation-bin",1,7,cals_compact_explain_square2cnf,8635,62229,17,19,0,31,false
"car_evaluation-bin",1,7,cals_compact_explain_affine,21636,924,27,23,0,39,false
"tic-tac-toe",0,7,cals_horn,5213,1195,23,25,0,35,false
"tic-tac-toe",0,7,cals_antihorn,10017,1768,35,49,0,71,false
"tic-tac-toe",0,7,cals_square2cnf,26427,232015,29,39,0,55,false
"tic-tac-toe",0,7,cals_affine,57068,6579,44,42,0,73,false
"tic-tac-toe",0,7,cals_compact_explain_horn,3326,1127,17,26,0,35,false
"tic-tac-toe",0,7,cals_compact_explain_antihorn,6161,1548,34,47,0,67,false
"tic-tac-toe",0,7,cals_compact_explain_square2cnf,9820,110961,32,32,0,53,false
"tic-tac-toe",0,7,cals_compact_explain_affine,34785,6525,54,41,0,75,false
"tic-tac-toe",1,7,cals_horn,6751,1351,18,32,0,37,false
"tic-tac-toe",1,7,cals_antihorn,7599,1527,23,37,0,47,false
"tic-tac-toe",1,7,cals_square2cnf,26170,241024,33,41,0,61,false
"tic-tac-toe",1,7,cals_affine,63094,6575,48,46,0,81,false
"tic-tac-toe",1,7,cals_compact_explain_horn,3559,1098,18,27,0,37,false
"tic-tac-toe",1,7,cals_compact_explain_antihorn,4005,1262,26,32,0,47,false
"tic-tac-toe",1,7,cals_compact_explain_square2cnf,11212,121137,34,35,0,55,false
"tic-tac-toe",1,7,cals_compact_explain_affine,40854,6443,62,47,0,89,false
