dataset,run,depth,method,search_strategy,score_profile,candidate_count,candidate_pruned_count,branch_and_bound_fallback_count,nodes_using_greedy_selection,nodes_using_selective_lookahead,branch_and_bound_activation_count,branch_and_bound_avoided_count,cache_activation_count,estimated_work_saved,search_time,path_certified,path_violation_count
"affine_xor3__noise_00",0,4,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000385708,true,0
"affine_xor3__noise_00",0,4,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000690103,true,0
"affine_xor3__noise_00",0,4,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000868611,true,0
"affine_xor3__noise_00",0,4,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.016237709,true,0
"affine_xor3__noise_00",0,4,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000598725,true,0
"affine_xor3__noise_00",1,4,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000298333,true,0
"affine_xor3__noise_00",1,4,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000761739,true,0
"affine_xor3__noise_00",1,4,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000666939,true,0
"affine_xor3__noise_00",1,4,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.019224326,true,0
"affine_xor3__noise_00",1,4,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000650606,true,0
"affine_xor3__noise_00",2,4,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000293448,true,0
"affine_xor3__noise_00",2,4,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000674446,true,0
"affine_xor3__noise_00",2,4,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000692357,true,0
"affine_xor3__noise_00",2,4,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.015422659,true,0
"affine_xor3__noise_00",2,4,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000765212,true,0
"affine_xor3__noise_00",3,4,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000278209,true,0
"affine_xor3__noise_00",3,4,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000938986,true,0
"affine_xor3__noise_00",3,4,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.00069824,true,0
"affine_xor3__noise_00",3,4,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.01546871,true,0
"affine_xor3__noise_00",3,4,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000581429,true,0
"affine_xor3__noise_00",4,4,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000295775,true,0
"affine_xor3__noise_00",4,4,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000732487,true,0
"affine_xor3__noise_00",4,4,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000850169,true,0
"affine_xor3__noise_00",4,4,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.015202012,true,0
"affine_xor3__noise_00",4,4,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000572071,true,0
"affine_xor3__noise_05",0,4,unary,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.00041123,true,0
"affine_xor3__noise_05",0,4,horn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.000865224,true,0
"affine_xor3__noise_05",0,4,antihorn,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.001105956,true,0
"affine_xor3__noise_05",0,4,square2cnf,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.023876256,true,0
"affine_xor3__noise_05",0,4,affine,Greedy,InformationGain,0,0,0,0,0,0,0,0,0,0.002137109,true,0
