dataset,run,depth,method,search_strategy,score_profile,candidate_count,candidate_pruned_count,branch_and_bound_fallback_count,nodes_using_greedy_selection,nodes_using_selective_lookahead,branch_and_bound_activation_count,branch_and_bound_avoided_count,cache_activation_count,estimated_work_saved,search_time,path_certified,path_violation_count
"HTRU_2-bin",0,7,cals_horn,SparseLookahead,SparseCertified,4616,2979,0,91,0,86,0,168,4216,0.5321289060000001,true,0
"HTRU_2-bin",0,7,cals_antihorn,SparseLookahead,SparseCertified,4616,2887,0,99,0,93,0,184,4197,0.571590474,true,0
"HTRU_2-bin",0,7,cals_square2cnf,SparseLookahead,SparseCertified,107308,3346,0,84,0,79,0,154,4468,89.393388058,true,0
"HTRU_2-bin",0,7,cals_affine,SparseLookahead,SparseCertified,65552,3536,0,90,0,81,0,166,4828,8.749615292,true,0
"HTRU_2-bin",0,7,cals_compact_explain_horn,SelectiveLookahead,SparseCertified,3476,0,0,79,19,0,84,175,1372,0.443082633,true,0
"HTRU_2-bin",0,7,cals_compact_explain_antihorn,SelectiveLookahead,SparseCertified,3252,0,0,87,19,0,88,191,1500,0.42829052500000003,true,0
"HTRU_2-bin",0,7,cals_compact_explain_square2cnf,SelectiveLookahead,SparseCertified,73629,0,0,74,19,0,79,165,1344,36.036756195,true,0
"HTRU_2-bin",0,7,cals_compact_explain_affine,SelectiveLookahead,SparseCertified,44494,0,0,82,17,0,81,177,1486,5.605349487000001,true,0
"HTRU_2-bin",1,7,cals_horn,SparseLookahead,SparseCertified,5226,3357,0,96,0,94,0,178,4641,0.575399837,true,0
"HTRU_2-bin",1,7,cals_antihorn,SparseLookahead,SparseCertified,4632,2981,0,86,0,83,0,158,4168,0.5207113040000001,true,0
"HTRU_2-bin",1,7,cals_square2cnf,SparseLookahead,SparseCertified,120119,3095,0,83,0,78,0,152,4133,83.287209702,true,0
"HTRU_2-bin",1,7,cals_affine,SparseLookahead,SparseCertified,58364,3212,0,82,0,74,0,150,4394,7.572291599,true,0
"HTRU_2-bin",1,7,cals_compact_explain_horn,SelectiveLookahead,SparseCertified,4100,0,0,85,15,0,95,182,1332,0.5004668290000001,true,0
"HTRU_2-bin",1,7,cals_compact_explain_antihorn,SelectiveLookahead,SparseCertified,3371,0,0,73,22,0,79,166,1356,0.438980806,true,0
"HTRU_2-bin",1,7,cals_compact_explain_square2cnf,SelectiveLookahead,SparseCertified,76932,0,0,70,16,0,72,151,1216,31.861662569,true,0
"HTRU_2-bin",1,7,cals_compact_explain_affine,SelectiveLookahead,SparseCertified,41838,0,0,70,16,0,70,151,1272,4.707281293,true,0
"anneal",0,7,cals_horn,SparseLookahead,SparseCertified,490,106,0,34,0,28,0,54,458,0.020550296,true,0
"anneal",0,7,cals_antihorn,SparseLookahead,SparseCertified,500,115,0,34,0,28,0,54,468,0.021438698000000003,true,0
"anneal",0,7,cals_square2cnf,SparseLookahead,SparseCertified,2068,680,0,30,0,23,0,46,1032,12.886597465000001,true,0
"anneal",0,7,cals_affine,SparseLookahead,SparseCertified,4028,1004,0,29,0,21,0,44,1372,0.137271135,true,0
"anneal",0,7,cals_compact_explain_horn,SelectiveLookahead,SparseCertified,368,0,0,22,7,0,26,49,288,0.015317291,true,0
"anneal",0,7,cals_compact_explain_antihorn,SelectiveLookahead,SparseCertified,376,0,0,22,7,0,26,49,289,0.015589703,true,0
"anneal",0,7,cals_compact_explain_square2cnf,SelectiveLookahead,SparseCertified,1719,0,0,19,10,0,23,46,344,3.429252501,true,0
"anneal",0,7,cals_compact_explain_affine,SelectiveLookahead,SparseCertified,2522,0,0,17,10,0,19,42,368,0.22827319199999999,true,0
"anneal",1,7,cals_horn,SparseLookahead,SparseCertified,549,130,0,35,0,31,0,56,455,0.024124814,true,0
"anneal",1,7,cals_antihorn,SparseLookahead,SparseCertified,557,138,0,35,0,31,0,56,463,0.022298161,true,0
"anneal",1,7,cals_square2cnf,SparseLookahead,SparseCertified,1842,649,0,31,0,23,0,48,1007,12.549399208,true,0
"anneal",1,7,cals_affine,SparseLookahead,SparseCertified,3304,975,0,34,0,26,0,54,1407,0.15329363099999999,true,0
"anneal",1,7,cals_compact_explain_horn,SelectiveLookahead,SparseCertified,380,0,0,23,4,0,26,48,262,0.01522009,true,0
