dataset,run,depth,method,predicate_mask_hits,predicate_mask_misses,candidate_hits,candidate_misses,subtree_hits,subtree_misses,incompatible_subtree_reuse
"affine_xor3__noise_00",0,4,unary,49,6,0,0,0,23,false
"affine_xor3__noise_00",0,4,horn,115,63,0,0,0,13,false
"affine_xor3__noise_00",0,4,antihorn,124,81,0,0,0,15,false
"affine_xor3__noise_00",0,4,square2cnf,520,1833,0,0,0,15,false
"affine_xor3__noise_00",0,4,affine,1,76,0,0,0,3,false
"affine_xor3__noise_00",1,4,unary,49,6,0,0,0,23,false
"affine_xor3__noise_00",1,4,horn,131,72,0,0,0,15,false
"affine_xor3__noise_00",1,4,antihorn,115,63,0,0,0,13,false
"affine_xor3__noise_00",1,4,square2cnf,520,1833,0,0,0,15,false
"affine_xor3__noise_00",1,4,affine,1,76,0,0,0,3,false
"affine_xor3__noise_00",2,4,unary,49,6,0,0,0,23,false
"affine_xor3__noise_00",2,4,horn,110,66,0,0,0,13,false
"affine_xor3__noise_00",2,4,antihorn,115,63,0,0,0,13,false
"affine_xor3__noise_00",2,4,square2cnf,520,1833,0,0,0,15,false
"affine_xor3__noise_00",2,4,affine,1,76,0,0,0,3,false
"affine_xor3__noise_00",3,4,unary,49,6,0,0,0,23,false
"affine_xor3__noise_00",3,4,horn,137,66,0,0,0,15,false
"affine_xor3__noise_00",3,4,antihorn,115,63,0,0,0,13,false
"affine_xor3__noise_00",3,4,square2cnf,520,1833,0,0,0,15,false
"affine_xor3__noise_00",3,4,affine,1,76,0,0,0,3,false
"affine_xor3__noise_00",4,4,unary,49,6,0,0,0,23,false
"affine_xor3__noise_00",4,4,horn,137,66,0,0,0,15,false
"affine_xor3__noise_00",4,4,antihorn,115,63,0,0,0,13,false
"affine_xor3__noise_00",4,4,square2cnf,520,1833,0,0,0,15,false
"affine_xor3__noise_00",4,4,affine,1,76,0,0,0,3,false
"affine_xor3__noise_05",0,4,unary,65,6,0,0,0,31,false
"affine_xor3__noise_05",0,4,horn,181,72,0,0,0,21,false
"affine_xor3__noise_05",0,4,antihorn,189,94,0,0,0,23,false
"affine_xor3__noise_05",0,4,square2cnf,952,2436,0,0,0,25,false
"affine_xor3__noise_05",0,4,affine,925,76,0,0,0,27,false
"affine_xor3__noise_05",1,4,unary,65,6,0,0,0,31,false
"affine_xor3__noise_05",1,4,horn,184,96,0,0,0,25,false
"affine_xor3__noise_05",1,4,antihorn,192,96,0,0,0,27,false
"affine_xor3__noise_05",1,4,square2cnf,1004,2714,0,0,0,25,false
"affine_xor3__noise_05",1,4,affine,925,76,0,0,0,27,false
"affine_xor3__noise_05",2,4,unary,65,6,0,0,0,31,false
"affine_xor3__noise_05",2,4,horn,203,99,0,0,0,25,false
"affine_xor3__noise_05",2,4,antihorn,208,78,0,0,0,21,false
"affine_xor3__noise_05",2,4,square2cnf,1443,2922,0,0,0,27,false
"affine_xor3__noise_05",2,4,affine,925,76,0,0,0,27,false
"affine_xor3__noise_05",3,4,unary,65,6,0,0,0,31,false
"affine_xor3__noise_05",3,4,horn,190,93,0,0,0,25,false
"affine_xor3__noise_05",3,4,antihorn,216,75,0,0,0,25,false
"affine_xor3__noise_05",3,4,square2cnf,830,2311,0,0,0,23,false
"affine_xor3__noise_05",3,4,affine,925,76,0,0,0,27,false
"affine_xor3__noise_05",4,4,unary,65,6,0,0,0,31,false
"affine_xor3__noise_05",4,4,horn,205,89,0,0,0,23,false
"affine_xor3__noise_05",4,4,antihorn,204,87,0,0,0,25,false
"affine_xor3__noise_05",4,4,square2cnf,1596,2620,0,0,0,29,false
"affine_xor3__noise_05",4,4,affine,925,76,0,0,0,27,false
"affine_xor3__noise_10",0,4,unary,65,6,0,0,0,31,false
"affine_xor3__noise_10",0,4,horn,181,84,0,0,0,25,false
"affine_xor3__noise_10",0,4,antihorn,190,90,0,0,0,25,false
"affine_xor3__noise_10",0,4,square2cnf,1421,3049,0,0,0,29,false
"affine_xor3__noise_10",0,4,affine,1079,76,0,0,0,31,false
"affine_xor3__noise_10",1,4,unary,65,6,0,0,0,31,false
"affine_xor3__noise_10",1,4,horn,186,72,0,0,0,25,false
"affine_xor3__noise_10",1,4,antihorn,191,75,0,0,0,27,false
"affine_xor3__noise_10",1,4,square2cnf,1271,2497,0,0,0,29,false
"affine_xor3__noise_10",1,4,affine,1079,76,0,0,0,31,false
"affine_xor3__noise_10",2,4,unary,65,6,0,0,0,31,false
"affine_xor3__noise_10",2,4,horn,199,72,0,0,0,25,false
"affine_xor3__noise_10",2,4,antihorn,194,72,0,0,0,27,false
"affine_xor3__noise_10",2,4,square2cnf,882,2428,0,0,0,25,false
"affine_xor3__noise_10",2,4,affine,1002,76,0,0,0,29,false
"affine_xor3__noise_10",3,4,unary,65,6,0,0,0,31,false
"affine_xor3__noise_10",3,4,horn,186,69,0,0,0,21,false
"affine_xor3__noise_10",3,4,antihorn,187,85,0,0,0,23,false
"affine_xor3__noise_10",3,4,square2cnf,1155,2490,0,0,0,27,false
"affine_xor3__noise_10",3,4,affine,925,76,0,0,0,27,false
"affine_xor3__noise_10",4,4,unary,65,6,0,0,0,31,false
"affine_xor3__noise_10",4,4,horn,185,72,0,0,0,23,false
"affine_xor3__noise_10",4,4,antihorn,172,72,0,0,0,23,false
"affine_xor3__noise_10",4,4,square2cnf,1114,2196,0,0,0,25,false
"affine_xor3__noise_10",4,4,affine,925,76,0,0,0,27,false
"antihorn_chain__noise_00",0,4,unary,16,6,0,0,0,9,false
"antihorn_chain__noise_00",0,4,horn,85,51,0,0,0,11,false
"antihorn_chain__noise_00",0,4,antihorn,36,42,0,0,0,7,false
"antihorn_chain__noise_00",0,4,square2cnf,93,598,0,0,0,7,false
"antihorn_chain__noise_00",0,4,affine,463,76,0,0,0,15,false
"antihorn_chain__noise_00",1,4,unary,16,6,0,0,0,9,false
"antihorn_chain__noise_00",1,4,horn,102,54,0,0,0,13,false
"antihorn_chain__noise_00",1,4,antihorn,36,42,0,0,0,7,false
"antihorn_chain__noise_00",1,4,square2cnf,88,603,0,0,0,7,false
"antihorn_chain__noise_00",1,4,affine,463,76,0,0,0,15,false
"antihorn_chain__noise_00",2,4,unary,16,6,0,0,0,9,false
"antihorn_chain__noise_00",2,4,horn,85,39,0,0,0,9,false
"antihorn_chain__noise_00",2,4,antihorn,36,42,0,0,0,7,false
"antihorn_chain__noise_00",2,4,square2cnf,89,602,0,0,0,7,false
"antihorn_chain__noise_00",2,4,affine,463,76,0,0,0,15,false
"antihorn_chain__noise_00",3,4,unary,16,6,0,0,0,9,false
"antihorn_chain__noise_00",3,4,horn,72,48,0,0,0,9,false
"antihorn_chain__noise_00",3,4,antihorn,36,42,0,0,0,7,false
"antihorn_chain__noise_00",3,4,square2cnf,89,602,0,0,0,7,false
"antihorn_chain__noise_00",3,4,affine,463,76,0,0,0,15,false
"antihorn_chain__noise_00",4,4,unary,16,6,0,0,0,9,false
"antihorn_chain__noise_00",4,4,horn,72,48,0,0,0,9,false
"antihorn_chain__noise_00",4,4,antihorn,36,42,0,0,0,7,false
"antihorn_chain__noise_00",4,4,square2cnf,89,602,0,0,0,7,false
"antihorn_chain__noise_00",4,4,affine,463,76,0,0,0,15,false
"antihorn_chain__noise_05",0,4,unary,61,6,0,0,0,29,false
"antihorn_chain__noise_05",0,4,horn,201,81,0,0,0,21,false
"antihorn_chain__noise_05",0,4,antihorn,198,84,0,0,0,25,false
"antihorn_chain__noise_05",0,4,square2cnf,605,2108,0,0,0,19,false
"antihorn_chain__noise_05",0,4,affine,1079,76,0,0,0,31,false
"antihorn_chain__noise_05",1,4,unary,61,6,0,0,0,29,false
"antihorn_chain__noise_05",1,4,horn,182,81,0,0,0,21,false
"antihorn_chain__noise_05",1,4,antihorn,169,78,0,0,0,21,false
"antihorn_chain__noise_05",1,4,square2cnf,771,1959,0,0,0,21,false
"antihorn_chain__noise_05",1,4,affine,1002,76,0,0,0,29,false
"antihorn_chain__noise_05",2,4,unary,57,6,0,0,0,27,false
"antihorn_chain__noise_05",2,4,horn,191,72,0,0,0,21,false
"antihorn_chain__noise_05",2,4,antihorn,169,75,0,0,0,23,false
"antihorn_chain__noise_05",2,4,square2cnf,641,2062,0,0,0,19,false
"antihorn_chain__noise_05",2,4,affine,925,76,0,0,0,27,false
"antihorn_chain__noise_05",3,4,unary,61,6,0,0,0,29,false
"antihorn_chain__noise_05",3,4,horn,201,81,0,0,0,21,false
"antihorn_chain__noise_05",3,4,antihorn,168,85,0,0,0,21,false
"antihorn_chain__noise_05",3,4,square2cnf,831,2217,0,0,0,21,false
"antihorn_chain__noise_05",3,4,affine,1002,76,0,0,0,29,false
"antihorn_chain__noise_05",4,4,unary,61,6,0,0,0,29,false
"antihorn_chain__noise_05",4,4,horn,204,78,0,0,0,21,false
"antihorn_chain__noise_05",4,4,antihorn,167,88,0,0,0,21,false
"antihorn_chain__noise_05",4,4,square2cnf,796,2401,0,0,0,23,false
"antihorn_chain__noise_05",4,4,affine,1079,76,0,0,0,31,false
"antihorn_chain__noise_10",0,4,unary,65,6,0,0,0,31,false
"antihorn_chain__noise_10",0,4,horn,186,78,0,0,0,21,false
"antihorn_chain__noise_10",0,4,antihorn,188,84,0,0,0,23,false
"antihorn_chain__noise_10",0,4,square2cnf,1006,2399,0,0,0,23,false
"antihorn_chain__noise_10",0,4,affine,1079,76,0,0,0,31,false
"antihorn_chain__noise_10",1,4,unary,65,6,0,0,0,31,false
"antihorn_chain__noise_10",1,4,horn,199,81,0,0,0,25,false
"antihorn_chain__noise_10",1,4,antihorn,196,84,0,0,0,25,false
"antihorn_chain__noise_10",1,4,square2cnf,1085,2315,0,0,0,25,false
"antihorn_chain__noise_10",1,4,affine,1079,76,0,0,0,31,false
"antihorn_chain__noise_10",2,4,unary,65,6,0,0,0,31,false
"antihorn_chain__noise_10",2,4,horn,206,81,0,0,0,27,false
"antihorn_chain__noise_10",2,4,antihorn,169,90,0,0,0,25,false
"antihorn_chain__noise_10",2,4,square2cnf,789,2611,0,0,0,25,false
"antihorn_chain__noise_10",2,4,affine,1002,76,0,0,0,29,false
"antihorn_chain__noise_10",3,4,unary,61,6,0,0,0,29,false
"antihorn_chain__noise_10",3,4,horn,176,75,0,0,0,25,false
"antihorn_chain__noise_10",3,4,antihorn,169,90,0,0,0,25,false
"antihorn_chain__noise_10",3,4,square2cnf,830,2244,0,0,0,21,false
"antihorn_chain__noise_10",3,4,affine,925,76,0,0,0,27,false
"antihorn_chain__noise_10",4,4,unary,65,6,0,0,0,31,false
"antihorn_chain__noise_10",4,4,horn,217,81,0,0,0,25,false
"antihorn_chain__noise_10",4,4,antihorn,182,87,0,0,0,25,false
"antihorn_chain__noise_10",4,4,square2cnf,888,2584,0,0,0,25,false
"antihorn_chain__noise_10",4,4,affine,1079,76,0,0,0,31,false
"horn_chain__noise_00",0,4,unary,16,6,0,0,0,9,false
"horn_chain__noise_00",0,4,horn,36,42,0,0,0,7,false
"horn_chain__noise_00",0,4,antihorn,85,39,0,0,0,9,false
"horn_chain__noise_00",0,4,square2cnf,91,600,0,0,0,7,false
"horn_chain__noise_00",0,4,affine,463,76,0,0,0,15,false
"horn_chain__noise_00",1,4,unary,16,6,0,0,0,9,false
"horn_chain__noise_00",1,4,horn,36,42,0,0,0,7,false
"horn_chain__noise_00",1,4,antihorn,79,45,0,0,0,9,false
"horn_chain__noise_00",1,4,square2cnf,93,598,0,0,0,7,false
"horn_chain__noise_00",1,4,affine,463,76,0,0,0,15,false
"horn_chain__noise_00",2,4,unary,16,6,0,0,0,9,false
"horn_chain__noise_00",2,4,horn,27,51,0,0,0,7,false
"horn_chain__noise_00",2,4,antihorn,99,57,0,0,0,13,false
"horn_chain__noise_00",2,4,square2cnf,92,599,0,0,0,7,false
"horn_chain__noise_00",2,4,affine,463,76,0,0,0,15,false
"horn_chain__noise_00",3,4,unary,16,6,0,0,0,9,false
"horn_chain__noise_00",3,4,horn,36,42,0,0,0,7,false
"horn_chain__noise_00",3,4,antihorn,66,54,0,0,0,9,false
"horn_chain__noise_00",3,4,square2cnf,93,598,0,0,0,7,false
"horn_chain__noise_00",3,4,affine,463,76,0,0,0,15,false
"horn_chain__noise_00",4,4,unary,16,6,0,0,0,9,false
"horn_chain__noise_00",4,4,horn,36,42,0,0,0,7,false
"horn_chain__noise_00",4,4,antihorn,66,54,0,0,0,9,false
"horn_chain__noise_00",4,4,square2cnf,92,599,0,0,0,7,false
"horn_chain__noise_00",4,4,affine,463,76,0,0,0,15,false
